nome,email,cidade,estado
Thiago Souza,da-motanicolas@hotmail.com,da Luz da Mata,AC
Dra. Ana Freitas,vieiranathan@rodrigues.org,Rocha de Pires,MT
Benjamin Fernandes,camposalana@uol.com.br,Barros,BA
Miguel Jesus,erickpeixoto@silveira.br,Pereira da Mata,RJ
Ana Carolina Castro,luiz-miguelcardoso@duarte.com,Almeida,PA
Olivia Ribeiro,diasmurilo@ig.com.br,Ramos de Minas,RO
Francisco da Paz,vianalevi@ig.com.br,Fogaça,TO
Breno Caldeira,juliana94@costa.br,Nunes Paulista,PE
Luna Pires,pintonina@fernandes.com,Dias,RO
Maria Sophia Aragão,da-luzbrenda@bol.com.br,Freitas de da Mata,RJ
Maysa Rodrigues,amonteiro@martins.com,Melo,PA
Sra. Esther Nunes,ucarvalho@martins.com,Silva do Sul,RO
Letícia Oliveira,elisamoreira@pires.com,Fogaça,PI
Gustavo Henrique Pires,araujolorena@bol.com.br,da Cruz,MA
Alana Vieira,das-nevesenzo@uol.com.br,da Costa,PR
Sra. Maitê Fogaça,pribeiro@uol.com.br,Nogueira,DF
Maitê Cunha,sophia65@almeida.org,Rodrigues Grande,PB
Luana Monteiro,uramos@hotmail.com,Nogueira,ES
Amanda Lopes,qnogueira@ig.com.br,Sales,AL
Luiz Fernando Melo,hcastro@alves.com,da Costa de Minas,PR
Joaquim Novaes,maria-eduarda86@rodrigues.com,Duarte,RS
Esther Dias,wcastro@pires.org,Barbosa,MT
Gustavo Moraes,pda-conceicao@bol.com.br,da Mata da Serra,CE
Paulo Nascimento,oda-conceicao@fernandes.br,Alves dos Dourados,MA
Maria Cecília da Cruz,lmonteiro@pereira.org,Jesus de da Paz,MG
Ana Lívia Duarte,isabelly44@gmail.com,Freitas do Sul,RJ
Stephany Barros,sophie39@yahoo.com.br,da Mota,RN
Renan Cunha,limavalentina@azevedo.br,Carvalho,MA
Dr. Davi da Paz,emanuelly84@fernandes.br,Rezende,AP
Vitor Gabriel das Neves,diego60@yahoo.com.br,Ramos,MS
Sofia Ferreira,enrico37@gmail.com,das Neves de Minas,RS
Pietra Jesus,cunhabryan@gmail.com,Sales do Campo,AM
Luiz Otávio Cunha,qmoura@ig.com.br,da Costa das Pedras,RS
Luigi Oliveira,mouraleandro@uol.com.br,Duarte de Moreira,AM
Isadora Viana,novaesmarcos-vinicius@hotmail.com,Ramos,AP
Clara Aragão,luigi29@campos.net,Melo,SP
Yuri Almeida,franciscoviana@yahoo.com.br,Correia,RO
Cauê Alves,joanamartins@gmail.com,Ferreira,AL
Vicente Peixoto,ribeiroana-livia@silva.com,Santos de das Neves,RN
Thomas Silveira,daraujo@uol.com.br,Pereira do Campo,PR
Sra. Ana Julia Cardoso,cauecostela@yahoo.com.br,Nascimento do Galho,MA
Lívia Pinto,vieiramilena@pinto.br,Ramos das Flores,PA
